	bioproject	Title	collection_date	geo_loc_name	lat_lon	isolate	depth	elev	isolation_source	host	sample_type	description	env_broad_scale	env_local_scale	env_medium	BioSampleModel	replicate	harvest	isotope	fraction	density.g.ml	qPCR.16S.copies.ul	leaf	BioProject	Unnamed: 2	env_biome	env_feature	env_material	host_taxid	ref_biomaterial	rel_to_oxygen	samp_collect_device	differentiation	host_disease	host_genotype	source_material_id	samp_mat_process	samp_size	loader	Attribute	host_height	strain	ecotype	isol_growth_condt	host_age	host_infra_specific_name	plant_body_site	host_health_status	Sample_identity	host_life_stage	air_temp_regm	climate_environment	Stefanie Glaeser	Ebru Aydogan	Peter Kaempfer	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	ENA first public	ENA last update	External Id	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	Submitter Id	collection date	environment (biome)	environment (feature)	environment (material)	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	host-associated environmental package	investigation type	project name	sample name	sequencing method	replicates	fungicide_regm	miscellaneous environmental package	ID	envir_treatment	sample_ID	altitude	temp	tree_height	Plantation	Replicate	humidity_regm	mechanical_damage	radiation_regm	samp_store_loc	samp_store_temp	season_environment	cultivar	plot	Sequencing Technology	Plant ID	collected_by	agricultural_management	antibiotic_regm	biotic_relationship	chem_administration	chem_mutagen	extrachrom_elements	fertilizer_regm	gravity	growth_hormone_regm	growth_med	herbicide_regm	host_dry_mass	host_infra_specific_rank	host_length	host_phenotype	host_tot_mass	host_wet_mass	mineral_nutr_regm	misc_param	non_mineral_nutr_regm	omics_observ_id	organism_count	oxy_stat_samp	perturbation	pesticide_regm	ph_regm	plant_product	rainfall_regm	salt_regm	samp_salinity	samp_store_dur	samp_vol_we_dna_ext	standing_water_regm	subspecf_gen_lin	tiss_cult_growth_med	trophic_level	water_temp_regm	watering_regm	Site	Meter	TransectLocation	SiteDescription	PCC	d15N_NA	d15N	perc_N	C.N	Tree_density	BA_m2	perc.sw	perc.hw	Moisture	FixationRate	MAT	MAP	UV_light	Radiation	Olayer.depth	Perm.depth	pH
SAMN16508418	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N4	H1	18	1	1.6893365	248647.0702	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508417	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N4	H1	16	9	1.703916	5557.891525	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508416	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N4	H1	16	8	1.69943	8647.437727	Narrowleaf Cottonwood																																																																																																																																									
SAMN16507849	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H1	16	14	1.722836	251.238576	Arizona Ash																																																																																																																																									
SAMN16508415	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N4	H1	16	7	1.6983085	30489.93008	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508414	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N4	H1	16	6	1.6960655	21180.04354	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508413	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N4	H1	16	5	1.692701	45638.0206	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508412	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N4	H1	16	4	1.6915795	32807.30284	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508411	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N4	H1	16	3	1.6893365	56932.47371	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508410	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N4	H1	16	2	1.6781215	89531.79678	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508409	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N4	H1	16	19	1.733075	1061.542785	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508063	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F1	H2	16	9	1.7102102	528.7437083	Fremont Cottonwood																																																																																																																																									
SAMN16508062	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F1	H2	16	8	1.705795	701.6864374	Fremont Cottonwood																																																																																																																																									
SAMN16508061	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F1	H2	16	7	1.7013798	1309.918167	Fremont Cottonwood																																																																																																																																									
SAMN16508060	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F1	H2	16	6	1.694757	147.4539255	Fremont Cottonwood																																																																																																																																									
SAMN16508059	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F1	H2	16	5	1.6848228	935.5261161	Fremont Cottonwood																																																																																																																																									
SAMN16508058	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F1	H2	16	4	1.683719	2111.829842	Fremont Cottonwood																																																																																																																																									
SAMN16508057	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F1	H2	16	3	1.6815114	9269.720532	Fremont Cottonwood																																																																																																																																									
SAMN16508056	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F1	H2	16	2	1.6748886	12254.93939	Fremont Cottonwood																																																																																																																																									
SAMN16507813	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H1	18	5	1.690468	861091.836	Arizona Ash																																																																																																																																									
SAMN16508055	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F1	H2	16	13	1.727871	456.0466943	Fremont Cottonwood																																																																																																																																									
SAMN16508054	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F1	H2	16	12	1.7234558	181.8687051	Fremont Cottonwood																																																																																																																																									
SAMN16508053	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F1	H2	16	11	1.7179368	2046.64109	Fremont Cottonwood																																																																																																																																									
SAMN16508052	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F1	H2	16	10	1.7135216	627.058284	Fremont Cottonwood																																																																																																																																									
SAMN16508051	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F1	H1	18	9	1.6990688	2100.741556	Fremont Cottonwood																																																																																																																																									
SAMN16508050	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F1	H1	18	8	1.6933878	4572.969138	Fremont Cottonwood																																																																																																																																									
